Id,ItemName,Description,Image,Vegan,Vegetarian,Halal,NutFree,GlutenFree,LactoseFree,LastUpdated,Brand,Calories,Barcode
100000,Cadbury Dairy Milk (45g),Classic creamy milk chocolate bar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,22nd September 2025,Cadbury,240,5055835170300
100001,Personalised Cadbury Dairy Milk Bar (850g),Classic creamy milk personalised 850g chocolate bar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,22nd September 2025,Cadbury,2000,5056132721387
100002,Personalised Cadbury Dairy Milk Bar (360g),Classic creamy milk personalised 360g chocolate bar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,22nd September 2025,Cadbury,1200,5056132721325
100003,Cadbury Fair Trade Dairy Milk (360g - Pack of 6),6x classic creamy milk chocolate bar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,22nd September 2025,Cadbury,528,5055331090034
100004,Cadbury Dairy Milk Fruit & Nut (120g),Classic creamy milk chocolate bar with fruit and nut chunks,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26th November 2025,Cadbury,490,721864838324
100005,Cadbury Dairy Milk for Kids (60 X 21g),Classic creamy milk chocolate bar for kids,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26th November 2025,Cadbury,2467,5034660004578
100006,Cadbury Dairy Milk Littlebar (18g),Classic creamy milk chocolate littlebar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26th November 2025,Cadbury,96,7622210400604
100007,Cadbury Dairy Milk Little Bars Chocolate Bars 6 Pack 108g,Classic creamy milk chocolate littlebar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26th November 2025,Cadbury,576,96119341
100008,Cadbury Dairy Milk Bar Roast Almond (113g),Classic creamy milk chocolate bar with almond chunks,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26th November 2025,Cadbury,400,765889711200
100009,Cadbury Dairy Milk Tiffin (48 X 53g),Classic creamy milk tiffin chocolate bar,chocolates/cadbury/cadbury1.jpg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26th November 2025,Cadbury,2332,5034660010852
100010,Cadbury Dairy Milk Caramel Bar 45g 10 PACK,10x milk chocolate bars filled with caramel,chocolates/cadbury/image3.png,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27th November 2025,Cadbury,2180,5055543312054 
100011,Cadbury Dairy Milk Caramel - 45g - Pack of 12,12x milk chocolate bars filled with caramel,chocolates/cadbury/image3.png,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27th November 2025,Cadbury,2616,5028881051725
100012,Cadbury Crunchie 40g, Milk chocolate coated honeycomb,chocolates/cadbury/image3.png,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27th November 2025,Cadbury,186,5000201468611
100013,Cadbury Wispa Gold 48g, Delicious Wispa Gold milk chocolate bar,chocolates/cadbury/image3.png,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27th November 2025,Cadbury,244,7622210448101
100014,Cadbury Wispa 36g, Delicious Wispa milk chocolate bar,chocolates/cadbury/image3.png,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27th November 2025,Cadbury,196,7622210470126
100015,Cadbury Dairy Milk Caramel 45g,Millk chocolate bar filled with caramel,chocolates/cadbury/image3.png,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27th November 2025,Cadbury,218,7622300743727